,titles,prices,platforms,image_url
0,https://cdn.cloudflare.steamstatic.com/steam/apps/1555560/capsule_184x69.jpg?t=1615449910,₹ 148,"Casual , Shooter , Flight , 2D ",https://cdn.cloudflare.steamstatic.com/steam/apps/1555560/capsule_184x69.jpg?t=1615449910
1,https://cdn.cloudflare.steamstatic.com/steam/apps/1524370/capsule_184x69.jpg?t=1615442472,Free To Play,"Free to Play , RPG , Massively Multiplayer , MMORPG ",https://cdn.cloudflare.steamstatic.com/steam/apps/1524370/capsule_184x69.jpg?t=1615442472
2,https://cdn.cloudflare.steamstatic.com/steam/apps/1092630/capsule_184x69.jpg?t=1615403349,Free to Play,"Indie , Action , Action Roguelike , Platformer ",https://cdn.cloudflare.steamstatic.com/steam/apps/1092630/capsule_184x69.jpg?t=1615403349
3,https://cdn.cloudflare.steamstatic.com/steam/apps/1144910/capsule_184x69.jpg?t=1615395451,₹ 321,"Action , Indie , Roguelite , Action Roguelike ",https://cdn.cloudflare.steamstatic.com/steam/apps/1144910/capsule_184x69.jpg?t=1615395451
4,https://cdn.cloudflare.steamstatic.com/steam/apps/1510860/capsule_184x69.jpg?t=1615392077,₹ 219,"Casual , Hidden Object , 3D , Stylized ",https://cdn.cloudflare.steamstatic.com/steam/apps/1510860/capsule_184x69.jpg?t=1615392077
5,https://cdn.cloudflare.steamstatic.com/steam/apps/1230800/capsule_184x69.jpg?t=1615384160,₹ 476,"Racing , Split Screen , Controller , Early Access ",https://cdn.cloudflare.steamstatic.com/steam/apps/1230800/capsule_184x69.jpg?t=1615384160
6,https://cdn.cloudflare.steamstatic.com/steam/apps/1546540/capsule_184x69.jpg?t=1615377197,Free,"Simulation , Management , Building , Funny ",https://cdn.cloudflare.steamstatic.com/steam/apps/1546540/capsule_184x69.jpg?t=1615377197
7,https://cdn.cloudflare.steamstatic.com/steam/apps/907650/capsule_184x69.jpg?t=1615318845,₹ 809,"City Builder , Real Time Tactics , Colony Sim , Base Building ",https://cdn.cloudflare.steamstatic.com/steam/apps/907650/capsule_184x69.jpg?t=1615318845
8,https://cdn.cloudflare.steamstatic.com/steam/apps/1293830/capsule_184x69.jpg?t=1615337540,"₹ 1,299","Racing , Open World , Multiplayer , Driving ",https://cdn.cloudflare.steamstatic.com/steam/apps/1293830/capsule_184x69.jpg?t=1615337540
9,https://cdn.cloudflare.steamstatic.com/steam/apps/1505400/capsule_184x69.jpg?t=1615308336,₹ 71,"Action , Adventure , Hero Shooter , Futuristic ",https://cdn.cloudflare.steamstatic.com/steam/apps/1505400/capsule_184x69.jpg?t=1615308336
10,https://cdn.cloudflare.steamstatic.com/steam/apps/1482130/capsule_184x69.jpg?t=1615171912,₹ 72,"Puzzle , Casual , Hand-drawn , Cats ",https://cdn.cloudflare.steamstatic.com/steam/apps/1482130/capsule_184x69.jpg?t=1615171912
11,https://cdn.cloudflare.steamstatic.com/steam/apps/1505450/capsule_184x69.jpg?t=1615141213,₹ 66,"Casual , Adventure , Puzzle , Arcade ",https://cdn.cloudflare.steamstatic.com/steam/apps/1505450/capsule_184x69.jpg?t=1615141213
12,https://cdn.cloudflare.steamstatic.com/steam/apps/1460040/capsule_184x69.jpg?t=1615035750,₹ 69,"Sexual Content , Nudity , Match 3 , Puzzle ",https://cdn.cloudflare.steamstatic.com/steam/apps/1460040/capsule_184x69.jpg?t=1615035750
13,https://cdn.cloudflare.steamstatic.com/steam/apps/958850/capsule_184x69.jpg?t=1615365663,Free To Play,"Action , Racing , Action-Adventure , Battle Royale ",https://cdn.cloudflare.steamstatic.com/steam/apps/958850/capsule_184x69.jpg?t=1615365663
14,https://cdn.cloudflare.steamstatic.com/steam/apps/1548540/capsule_184x69.jpg?t=1614970855,₹ 25,"Adventure , Action , Shooter , 3D ",https://cdn.cloudflare.steamstatic.com/steam/apps/1548540/capsule_184x69.jpg?t=1614970855
